feature_1,feature_2,feature_3,feature_4,violin
1.081520487,0.003809261,0.00727537,0.003157986,africa1
0.030996303,1.023012543,0.000641541,2.85E-05,africa2
1.092352299,0.000126059,0.009381743,0.00016148,conv1
0.068341049,0.001522252,1.120656894,0.000402667,conv2
1.066793112,0.056479327,0.56838429,0.104168882,conv3
1.192061897,0.727188516,0.031574281,0.424873376,conv4
1.012063795,8.53E-05,3.78E-05,0.015729183,conv5
1.10891573,1.398430359,0.050276287,0.219625975,conv6
,,,,conv7
,,,,conv8
,,,,conv9
,,,,conv10
,,,,fact1
,,,,fact2
,,,,fact3
