feature_1,feature_2,feature_3,feature_4,violin
0.213242775,1.996926975,0.258144465,0.079014891,africa1
0.269883868,1.058975327,0.02544931,9.22E-05,africa2
0.041246546,0.038653697,0.080156849,0.003025588,conv1
1.696137835,0.002530551,0.001697386,0.000998505,conv2
1.012423013,0.298927767,0.297811421,0.001042935,conv3
1.24E-12,0.019739461,0.00220542,0.001545631,conv4
6.01E-11,1.090353939,0.000342784,0.025831454,conv5
1.12E-12,1.583934573,0.00489303,0.009834159,conv6
,,,,conv7
,,,,conv8
,,,,conv9
,,,,conv10
,,,,fact1
,,,,fact2
,,,,fact3
