feature_1,feature_2,feature_3,feature_4,violin
1.463838718,0.00274234,0.001369424,1.08E-05,africa1
1.688249794,0.311418215,0.000318968,2.17E-07,africa2
1.022579028,7.68E-05,2.61E-05,2.21E-07,conv1
1.900423593,0.041309286,0.03085613,1.30E-06,conv2
1.637823565,0.001483275,3.16E-06,5.41E-09,conv3
0.000239204,1.29E-06,1.99E-08,1.50E-09,conv4
1.037899834,0.542362034,0.056910097,0.086505631,conv5
0.27808244,0.000294982,8.21E-06,4.31E-06,conv6
,,,,conv7
,,,,conv8
,,,,conv9
,,,,conv10
,,,,fact1
,,,,fact2
,,,,fact3
